,Recall@20,MRR@20
original_rnn_BPR-max_1000_0.01_0_50,0.5546418732782369,0.2543777903854929
original_rnn_BPR-max_1000_0.01_0.1_50,0.5639118457300276,0.25755363812069754
original_rnn_BPR-max_1000_0.05_0_50,0.5079063360881543,0.20821224095571797
original_rnn_BPR-max_1000_0.05_0.1_50,0.5281129476584021,0.2193778739118379
improved_rnn_TOP1-max_100_0.01_0_50,0.5123415977961433,0.22952377061377544
improved_rnn_TOP1-max_100_0.01_0.1_50,0.5005922865013774,0.22627849159018232
improved_rnn_TOP1-max_100_0.05_0_50,0.564504132231405,0.23805941363729885
improved_rnn_TOP1-max_100_0.05_0.1_50,0.5652341597796143,0.23812864449378052
improved_rnn_TOP1-max_1000_0.01_0_50,0.5978236914600551,0.27935625510110673
improved_rnn_TOP1-max_1000_0.01_0.1_50,0.59767217630854,0.27944854325704666
improved_rnn_TOP1-max_1000_0.05_0_50,0.5157438016528927,0.21649207199408002
improved_rnn_TOP1-max_1000_0.05_0.1_50,0.524710743801653,0.2215242187900484
improved_rnn_BPR-max_100_0.01_0_50,0.363732782369146,0.150484383193463
improved_rnn_BPR-max_100_0.01_0.1_50,0.36544077134986225,0.1518845901088199
improved_rnn_BPR-max_100_0.05_0_50,0.5531267217630854,0.2487410522443204
improved_rnn_BPR-max_100_0.05_0.1_50,0.559366391184573,0.253996238543475
